,suite_name,suite_id,exp_name,run,workload_info.name,workload.rep,allocation,composition,workload_mode,workload_profit,workload.mechanism_mix,workload.sub_mix,workload.pa_mix,budget.mode,budget.ModeConfig.Unlocking.slack,request_info.mechanism.name,allocation_status_all,profit_elephant_all,profit_hare_all,profit_mice_all,profit_elephant_accepted,profit_hare_accepted,profit_mice_accepted,profit_elephant_rejected,profit_hare_rejected,profit_mice_rejected,n_requests_elephant_all,n_requests_hare_all,n_requests_mice_all,n_requests_elephant_accepted,n_requests_hare_accepted,n_requests_mice_accepted,n_requests_elephant_rejected,n_requests_hare_rejected,n_requests_mice_rejected
0,sp_sub,1690826136,wl_big_mem,0,gm:GM-sub5-defpa,0,ilp,block-composition,upc,equal-ncd,gm:GM,sub5,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 36, 'TimeLimit': 4}",6722,6640,6726,439,6640,6726,6283,0,0,6722,6640,6726,439,6640,6726,6283,0,0
1,sp_sub,1690826136,wl_big_mem,1,gm:GM-sub5-defpa,0,ilp,block-composition,upc,equal-ncd,gm:GM,sub5,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 37, 'TimeLimit': 3}",6722,6640,6726,452,6640,6726,6270,0,0,6722,6640,6726,452,6640,6726,6270,0,0
2,sp_sub,1690826136,wl_big_mem,2,gm:GM-sub25-defpa,0,ilp,block-composition,upc,equal-ncd,gm:GM,sub25,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 35, 'TimeLimit': 5}",6632,6650,6603,16,1809,6603,6616,4841,0,6632,6650,6603,16,1809,6603,6616,4841,0
3,sp_sub,1690826136,wl_big_mem,3,gm:GM-sub25-defpa,0,ilp,block-composition,upc,equal-ncd,gm:GM,sub25,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 37, 'TimeLimit': 3}",6632,6650,6603,19,1803,6603,6613,4847,0,6632,6650,6603,19,1803,6603,6613,4847,0
4,sp_sub,1690826136,wl_big_mem,4,gm:GM-sub45-defpa,0,ilp,block-composition,upc,equal-ncd,gm:GM,sub45,nopa,Unlocking,0.2,GaussianMechanism,{'Optimal': 40},6664,6595,6763,2,870,6763,6662,5725,0,6664,6595,6763,2,870,6763,6662,5725,0
5,sp_sub,1690826136,wl_big_mem,5,gm:GM-sub45-defpa,0,ilp,block-composition,upc,equal-ncd,gm:GM,sub45,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 37, 'TimeLimit': 3}",6664,6595,6763,3,875,6763,6661,5720,0,6664,6595,6763,3,875,6763,6661,5720,0
6,sp_sub,1690826136,wl_big_mem,6,gm:GM-sub65-defpa,0,ilp,block-composition,upc,equal-ncd,gm:GM,sub65,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 37, 'TimeLimit': 3}",6684,6793,6683,0,479,6683,6684,6314,0,6684,6793,6683,0,479,6683,6684,6314,0
7,sp_sub,1690826136,wl_big_mem,7,gm:GM-sub65-defpa,0,ilp,block-composition,upc,equal-ncd,gm:GM,sub65,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 36, 'TimeLimit': 4}",6684,6793,6683,0,493,6683,6684,6300,0,6684,6793,6683,0,493,6683,6684,6300,0
8,sp_sub,1690826136,wl_big_mem,8,gm:GM-sub85-defpa,0,ilp,block-composition,upc,equal-ncd,gm:GM,sub85,nopa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 36, 'TimeLimit': 4}",6586,6767,6716,0,233,6716,6586,6534,0,6586,6767,6716,0,233,6716,6586,6534,0
9,sp_sub,1690826136,wl_big_mem,9,gm:GM-sub85-defpa,0,ilp,block-composition,upc,equal-ncd,gm:GM,sub85,nopa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 35, 'TimeLimit': 5}",6586,6767,6716,0,244,6716,6586,6523,0,6586,6767,6716,0,244,6716,6586,6523,0
