,suite_name,suite_id,exp_name,run,workload_info.name,workload.rep,allocation,composition,workload_mode,workload_profit,workload.mechanism_mix,workload.sub_mix,workload.pa_mix,budget.mode,budget.ModeConfig.Unlocking.slack,request_info.mechanism.name,allocation_status_all,profit_elephant_all,profit_hare_all,profit_mice_all,profit_elephant_accepted,profit_hare_accepted,profit_mice_accepted,profit_elephant_rejected,profit_hare_rejected,profit_mice_rejected,n_requests_elephant_all,n_requests_hare_all,n_requests_mice_all,n_requests_elephant_accepted,n_requests_hare_accepted,n_requests_mice_accepted,n_requests_elephant_rejected,n_requests_hare_rejected,n_requests_mice_rejected,workload_composition_mode
0,sp_workloads,1690805680,wl_big_mem,0,mixed:GM-LM-RR-LSVT-SGD-PATE-sub25100-defpa,0,ilp,block-composition-pa,poisson,ncd,mixed:GM-LM-RR-LSVT-SGD-PATE,sub25100,defpa,Unlocking,0.2,GaussianMechanism,"{'Optimal': 39, 'TimeLimit': 1}",3326864,216518,19768,1925376,143953,15546,1401488,72565,4222,1098,1121,1112,587,754,886,511,367,226,poisson-block-composition-pa
1,sp_workloads,1690805680,wl_big_mem,0,mixed:GM-LM-RR-LSVT-SGD-PATE-sub25100-defpa,0,ilp,block-composition-pa,poisson,ncd,mixed:GM-LM-RR-LSVT-SGD-PATE,sub25100,defpa,Unlocking,0.2,LaplaceMechanism,"{'Optimal': 39, 'TimeLimit': 1}",3160262,214484,19740,556951,68523,16132,2603311,145961,3608,1133,1141,1092,315,438,908,818,703,184,poisson-block-composition-pa
2,sp_workloads,1690805680,wl_big_mem,0,mixed:GM-LM-RR-LSVT-SGD-PATE-sub25100-defpa,0,ilp,block-composition-pa,poisson,ncd,mixed:GM-LM-RR-LSVT-SGD-PATE,sub25100,defpa,Unlocking,0.2,MLNoisySGDMechanism,"{'Optimal': 39, 'TimeLimit': 1}",3049683,202901,20644,477852,25395,6959,2571831,177506,13685,1124,1132,1148,163,156,433,961,976,715,poisson-block-composition-pa
3,sp_workloads,1690805680,wl_big_mem,0,mixed:GM-LM-RR-LSVT-SGD-PATE-sub25100-defpa,0,ilp,block-composition-pa,poisson,ncd,mixed:GM-LM-RR-LSVT-SGD-PATE,sub25100,defpa,Unlocking,0.2,MLPateGaussianMechanism,"{'Optimal': 39, 'TimeLimit': 1}",3104776,219595,19804,288872,27551,7627,2815904,192044,12177,1159,1162,1108,116,190,485,1043,972,623,poisson-block-composition-pa
4,sp_workloads,1690805680,wl_big_mem,0,mixed:GM-LM-RR-LSVT-SGD-PATE-sub25100-defpa,0,ilp,block-composition-pa,poisson,ncd,mixed:GM-LM-RR-LSVT-SGD-PATE,sub25100,defpa,Unlocking,0.2,RandResponseMechanism,"{'Optimal': 39, 'TimeLimit': 1}",3027994,204361,19932,33190,7133,4968,2994804,197228,14964,1129,1138,1140,19,43,312,1110,1095,828,poisson-block-composition-pa
5,sp_workloads,1690805680,wl_big_mem,0,mixed:GM-LM-RR-LSVT-SGD-PATE-sub25100-defpa,0,ilp,block-composition-pa,poisson,ncd,mixed:GM-LM-RR-LSVT-SGD-PATE,sub25100,defpa,Unlocking,0.2,SVTLaplaceMechanism,"{'Optimal': 39, 'TimeLimit': 1}",3254745,215442,20539,30233,6493,4446,3224512,208949,16093,1155,1111,1125,16,32,274,1139,1079,851,poisson-block-composition-pa
6,sp_workloads,1690805680,wl_big_mem,1,mixed:GM-LM-RR-LSVT-SGD-PATE-sub25100-defpa,0,ilp,block-composition-pa,poisson,ncd,mixed:GM-LM-RR-LSVT-SGD-PATE,sub25100,defpa,Unlocking,0.4,GaussianMechanism,"{'Optimal': 39, 'TimeLimit': 1}",3326864,216518,19768,1896856,161338,16517,1430008,55180,3251,1098,1121,1112,602,803,939,496,318,173,poisson-block-composition-pa
7,sp_workloads,1690805680,wl_big_mem,1,mixed:GM-LM-RR-LSVT-SGD-PATE-sub25100-defpa,0,ilp,block-composition-pa,poisson,ncd,mixed:GM-LM-RR-LSVT-SGD-PATE,sub25100,defpa,Unlocking,0.4,LaplaceMechanism,"{'Optimal': 39, 'TimeLimit': 1}",3160262,214484,19740,862107,80192,16759,2298155,134292,2981,1133,1141,1092,392,495,937,741,646,155,poisson-block-composition-pa
8,sp_workloads,1690805680,wl_big_mem,1,mixed:GM-LM-RR-LSVT-SGD-PATE-sub25100-defpa,0,ilp,block-composition-pa,poisson,ncd,mixed:GM-LM-RR-LSVT-SGD-PATE,sub25100,defpa,Unlocking,0.4,MLNoisySGDMechanism,"{'Optimal': 39, 'TimeLimit': 1}",3049683,202901,20644,459596,36915,7639,2590087,165986,13005,1124,1132,1148,170,197,473,954,935,675,poisson-block-composition-pa
9,sp_workloads,1690805680,wl_big_mem,1,mixed:GM-LM-RR-LSVT-SGD-PATE-sub25100-defpa,0,ilp,block-composition-pa,poisson,ncd,mixed:GM-LM-RR-LSVT-SGD-PATE,sub25100,defpa,Unlocking,0.4,MLPateGaussianMechanism,"{'Optimal': 39, 'TimeLimit': 1}",3104776,219595,19804,305403,33779,8094,2799373,185816,11710,1159,1162,1108,147,229,514,1012,933,594,poisson-block-composition-pa
